文件名,特征,特征面数,打标签数量,准确率(%)
GFR_00852 , clip ,17,51,300.0
GFR_01115 , contact ,68,204,300.0
GFR_00805 , clip ,218,654,300.0
GFR_00806 , clip ,220,660,300.0
GFR_00806 , rib ,182,546,300.0
GFR_00852 , contact ,17,51,300.0
GFR_00852 , rib ,22,66,300.0
GFR_00852 , rib ,22,66,300.0
GFR_00852 , clip ,17,51,300.0
GFR_00818 , contact ,132,396,300.0
GFR_00855 , rib ,19,57,300.0
GFR_00855 , clip ,21,63,300.0
GFR_02405 , boss ,3,9,300.0
GFR_00801 , clip ,69,207,300.0
GFR_00801 , contact ,455,1365,300.0
GFR_02405 , rib ,69,207,300.0
GFR_00828 , rib ,61,183,300.0
GFR_01194 , clip ,52,156,300.0
GFR_01152 , clip ,26,78,300.0
GFR_00829 , clip ,127,381,300.0
GFR_02405 , contact ,167,498,298.2035928
GFR_00805 , rib ,187,557,297.8609626
GFR_00801 , rib ,634,1883,297.0031546
GFR_00829 , rib ,229,679,296.5065502
GFR_02405 , clip ,85,252,296.4705882
GFR_01115 , clip ,136,402,295.5882353
GFR_01115 , rib ,398,927,232.9145729
GFR_01339 , clip ,222,444,200.0
GFR_00356 , contact ,12,24,200.0
GFR_01363 , rib ,40,80,200.0
GFR_01573 , boss ,99,198,200.0
GFR_02158 , boss ,12,24,200.0
GFR_01379 , boss ,22,44,200.0
GFR_01573 , clip ,68,136,200.0
GFR_00356 , rib ,13,26,200.0
GFR_02413 , rib ,172,344,200.0
GFR_00356 , clip ,28,56,200.0
GFR_01166 , contact ,24,48,200.0
GFR_03182 , contact ,116,232,200.0
GFR_01339 , rib ,18,36,200.0
GFR_01166 , rib ,213,424,199.0610329
GFR_01573 , rib ,94,186,197.8723404
GFR_01166 , clip ,429,842,196.2703963
GFR_01379 , rib ,301,586,194.6843854
GFR_02402 , rib ,516,983,190.503876
GFR_01573 , contact ,114,210,184.2105263
GFR_02555 , clip ,280,476,170.0
GFR_03016 , boss ,36,60,166.6666667
GFR_02555 , boss ,439,692,157.6309795
GFR_02413 , contact ,210,327,155.7142857
GFR_02555 , rib ,279,384,137.6344086
GFR_02218 , contact ,97,104,107.2164948
GFR_03207 , boss ,65,69,106.1538462
GFR_02838 , rib ,174,181,104.0229885
GFR_00194 , clip ,29,30,103.4482759
GFR_01964 , contact ,35,36,102.8571429
GFR_00430 , rib ,193,198,102.5906736
GFR_03207 , contact ,243,247,101.6460905
GFR_01964 , boss ,99,100,101.010101
GFR_03201 , contact ,106,107,100.9433962
GFR_03063 , rib ,166,167,100.6024096
GFR_02874 , clip ,223,224,100.4484305
GFR_01419 , rib ,349,350,100.286533
GFR_01579 , clip ,813,814,100.1230012
GFR_01900 , boss ,74,74,100.0
GFR_01901 , rib ,135,135,100.0
GFR_01896 , boss ,8,8,100.0
GFR_01896 , contact ,109,109,100.0
GFR_01901 , boss ,42,42,100.0
GFR_01899 , rib ,208,208,100.0
GFR_01899 , contact ,30,30,100.0
GFR_01899 , clip ,211,211,100.0
GFR_01899 , boss ,63,63,100.0
GFR_01898 , rib ,167,167,100.0
GFR_01900 , rib ,159,159,100.0
GFR_01900 , contact ,183,183,100.0
GFR_01897 , contact ,301,301,100.0
GFR_01898 , boss ,73,73,100.0
GFR_01897 , clip ,572,572,100.0
GFR_01898 , contact ,188,188,100.0
GFR_01896 , clip ,42,42,100.0
GFR_00001 , boss ,8,8,100.0
GFR_01896 , rib ,174,174,100.0
GFR_01883 , rib ,69,69,100.0
GFR_01879 , contact ,41,41,100.0
GFR_01879 , boss ,41,41,100.0
GFR_01879 , contact ,41,41,100.0
GFR_01879 , boss ,41,41,100.0
GFR_01880 , clip ,23,23,100.0
GFR_01880 , contact ,88,88,100.0
GFR_01880 , rib ,6,6,100.0
GFR_01881 , boss ,5,5,100.0
GFR_01882 , clip ,342,342,100.0
GFR_01882 , boss ,5,5,100.0
GFR_01882 , rib ,15,15,100.0
GFR_01882 , contact ,50,50,100.0
GFR_01883 , clip ,23,23,100.0
GFR_01883 , contact ,34,34,100.0
GFR_01885 , boss ,85,85,100.0
GFR_01895 , contact ,76,76,100.0
GFR_01885 , clip ,311,311,100.0
GFR_01885 , rib ,191,191,100.0
GFR_01887 , clip ,207,207,100.0
GFR_01888 , contact ,30,30,100.0
GFR_01902 , rib ,35,35,100.0
GFR_01888 , clip ,140,140,100.0
GFR_01889 , clip ,36,36,100.0
GFR_01891 , clip ,133,133,100.0
GFR_01891 , rib ,272,272,100.0
GFR_01892 , contact ,64,64,100.0
GFR_01892 , rib ,234,234,100.0
GFR_01893 , contact ,94,94,100.0
GFR_01895 , clip ,332,332,100.0
GFR_01895 , rib ,329,329,100.0
GFR_01901 , clip ,215,215,100.0
GFR_01909 , rib ,137,137,100.0
GFR_01904 , boss ,199,199,100.0
GFR_01919 , contact ,72,72,100.0
